gamma_path,WELL,UWI,DEPTH_REFERENCE_ID,Reference Point,gamma_instrument,Columns,fitler1,filter1_min_window,filter1_window_size,min_depth,max_depth
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR22\KR22_gamma_down.LAS,KR22,635730,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8925,47.9925
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR23_RN040782\KR23_gamma_down.LAS,KR23,635732,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,95.9308
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR30\KR30_gamma_down.LAS,KR30,635733,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,36.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR31a\KR31a_gamma_down_sr0p05_1mmin.LAS,KR31,635734,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8329,37.9829
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR33\KR33_gamma_down_battery.LAS,KR33,635735,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,44.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR33\KR33_gamma_up_generator.LAS,KR33,635735,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8029,44.9529
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR36_RN040783\RN040783_KR36_gamma_down.LAS,KR36,635736,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,146.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR38\KR38_gamma_down.LAS,KR38,635737,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,40.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR40\KR40_gamma_down.LAS,KR40,635738,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8821,49.9821
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR45\KR45_gamma_down.LAS,KR45,635739,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8808,41.5308
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR46\KR46_gamma_down.LAS,KR46,635740,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,42.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR48\KR48_gamma_down.LAS,KR48,635741,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,38.4808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR49\KR49_gamma_down.LAS,KR49,635742,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8796,40.9796
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR50a\KR50A_gamma_down.LAS,KR50A,635743,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8896,47.4896
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR50b_RN040780\RN04780_KR50m_gamma_down.LAS,KR50b,635744,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,-0.4192,136.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR51a\KR51A_gamma_down.LAS,KR51A,635745,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8825,50.4325
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR51b\KR51B_gamma_down.LAS,KR51B,635746,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8804,94.9804
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR54\KR54_gamma_down.LAS,KR54,635747,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,36.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR55\KR55_gamma_down.LAS,KR55,635748,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,28.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR58\KR58_gamma_down.LAS,KR58,635749,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,26.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\KR61_RN039891\KR61_gamma_down.LAS,KR61,635750,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,144.9808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore1\NTroad_bore1_gamma_down_relogged_0p020_1p0mmin.las,NTroad_bore1,635957,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8208,28.0008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore2\NTroad_bore2_gamma_down_relogged_slow.las,NTroad_bore2,635958,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8808,39.4808
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore3\NTroad_bore3_gamma_down.las,NTroad_bore3,635959,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,61.5008
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\NTroad_bore4\NTroad_bore4_gamma_down.las,NTroad_bore4,635960,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8208,21.5408
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Ord16\Ord16_gamma_down.las,Ord16,636191,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,-0.01,23.25
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\Ord24\Ord24_gamma_down.las,Ord24,636194,10,top of casing protector,QL40,"K,U,TH,GR",binomial,11,11,0.8008,29.9908
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y16A_Ord37\Y16A_Ord37_gamma_down.las,Ord37,636192,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,14.75
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\Y10A_Ord40\Y10A_Ord40_gamma_down.las,Ord40,636203,10,top of casing protector,A031,GAMMA_CALIBRATED,binomial,11,11,0.0,14.24
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Alice_Springs\RN006504\RN006504_Gamma_Down.LAS,RN006504,628372,5,top of casing,A031,GAMMA,binomial,11,11,1.1952,185.07
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\RN007412\RN007412_gamma_down.las,RN007412,636181,5,top of casing,QL40,"K,U,TH,GR",binomial,11,11,0.8008,23.0008
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013453\RN013453_Gamma_Down.las,RN013453,621386,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.68,39.32
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013454\RN013454_Gamma_Down.las,RN013454,621385,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.715,35.695
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013455\RN013455_Gamma_Down.las,RN013455,621384,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.75,10.41
\\prod.lan\active\proj\futurex\StuartCorridor\Data\Processed\Geophysics\InductionGamma\From-Data-Original\Induction_and_Gamma_Results\Tennant_Creek\RN013457\RN013457_Gamma_Down.las,RN013457,621383,5,top of casing,A031,GAMMA_CALIBRATED,binomial,11,11,-0.715,51.635
