prod_path_las,WELL_las,UWI,DEPTH_REFERENCE_ID_las,Reference Point_las,local_path_las,STEP,STRT,STOP,NULL,COMP,DATE,X,Y,prod_path_oracle,WELL_oracle,DEPTH_REFERENCE_ID_oracle,Reference Point_oracle,local_path_oracle,BOREHOLE_NAME,ORIG_LON,ORIG_LAT,ORIG_Z,ORIG_SRID,ENO,COUNTRY,STATE,ELEVATION_VALUE,INPUT_UNCERTAINTY_Z,ELEVATION_UOM,ELEVATION_DATUM,ELEVATION_DATUM_CONFIDENCE,DEPTH_REFERENCE_TYPE,DEPTH_REFERENCE_DATUM,DEPTH_REFERENCE_HEIGHT,DEPTH_REFERENCE_UOM,ALTERNATE_NAMES,LOCATION_METHOD,GDA94_LONGITUDE,GDA94_LATITUDE,SRID,COORD_REF_SYS_NAME,DEPTH_REFERENCE_TYPE_ID,Orig_EPSG,Reference_datum_height_(mAGL),ground_elevation_(mAHD),projected_crs,easting,northing
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,17BP05I,621625,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP05I/17BP05I_induction_down.las,0,0.6496,95.0096,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP05I\17BP05I_induction_down.las,17BP05I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP05I/17BP05I_induction_down.las,17BP05I,461179.05,8347241.926,,82465,621625,AUS,WA,41.333,0.1,m,Australian Height Datum,assumed,top of casing,ground level,560,mm,,GPS differential observation,128.6389869,-14.9493738,82465,MGA94 Zone 52,5,EPSG:28352,0.56,41.333,GDA94 / MGA zone 52,461179.0549,8347241.926
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_induction_down.las,17BP06I,627063,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP06I/17BP06I_induction_down.las,0,0.6454,103.0154,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP06I\17BP06I_induction_down.las,17BP06I,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP06I/17BP06I_induction_down.las,17BP06I,476482.346,8321899.871,,82465,627063,AUS,WA,94.617,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.58,m,,GPS differential observation,128.7810639,-15.1786747,82465,MGA94 Zone 52,5,EPSG:28352,0.58,94.617,GDA94 / MGA zone 52,476482.3428,8321899.872
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_induction_down.las,17BP07D,627064,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP07D/17BP07D_induction_down.las,0,0.645,78.495,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\17BP07D\17BP07D_induction_down.las,17BP07D,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/17BP07D/17BP07D_induction_down.las,RN039880,468859.889,8331473.34,,82465,627064,AUS,WA,93.167,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.43,m,17BP07I,GPS differential observation,128.7102214,-15.0920408,82465,MGA94 Zone 52,5,EPSG:28352,0.43,93.167,GDA94 / MGA zone 52,468859.8865,8331473.341
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP01D_RN039890\18BP01-D_ind_down.LAS,18BP01-D,635923,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP01D_RN039890/18BP01-D_ind_down.LAS,0,0.645,250.015,-999.25,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP01D_RN039890\18BP01-D_ind_down.LAS,18BP01-D,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP01D_RN039890/18BP01-D_ind_down.LAS,RN039890,479026,8334987,,82465,635923,AUS,WA,41.337,0.1,m,Australian Height Datum,known,top of casing,ground level,567,mm,"18BP01-D,18BP01D",digital elevation model,128.804852,-15.0603747,82465,MGA94 Zone 52,5,EPSG:28352,0.567,41.337,GDA94 / MGA zone 52,479025.9954,8334986.998
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP07D_RN039888\18BP07-D_ind_down.LAS,18BP07-D,628981,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP07D_RN039888/18BP07-D_ind_down.LAS,0,0.645,299.985,-999.25,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP07D_RN039888\18BP07-D_ind_down.LAS,18BP07-D,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP07D_RN039888/18BP07-D_ind_down.LAS,RN039888,468836,8331457,,82465,628981,AUS,WA,92.86,0.1,m,Australian Height Datum,known,top of casing,ground level,605,mm,"18BP07-D,18BP07-D,18BP07D,18BP07D",digital elevation model,128.7099989,-15.0921883,82465,MGA94 Zone 52,5,EPSG:28352,0.605,92.86,GDA94 / MGA zone 52,468835.9976,8331456.995
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP13D_RN039889\18BP13-D_ind_down.LAS,18BP13-D,635922,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP13D_RN039889/18BP13-D_ind_down.LAS,0,0.645,297.985,-999.25,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2018_EK_las_files\18BP13D_RN039889\18BP13-D_ind_down.LAS,18BP13-D,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2018_EK_las_files/18BP13D_RN039889/18BP13-D_ind_down.LAS,RN039889,473913,8333234,,82465,635922,AUS,WA,84.052,0.1,m,Australian Height Datum,known,top of casing,ground level,500,mm,"18BP13-D,18BP13D",digital elevation model,128.7572616,-15.0761778,82465,MGA94 Zone 52,5,EPSG:28352,0.5,84.052,GDA94 / MGA zone 52,473913.0029,8333234.002
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_conductivity_down.las,FW1mon,636188,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/FW1/FW1mon_conductivity_down.las,0.01,0,21.6,-999.25,Geoscience Australia,21/10/2016,470862,8268419,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2016_las_files_DGRT_system\FW1\FW1mon_conductivity_down.las,FW1,10,top of casing protector,/home/nsymington/Documents/GA/inductionGamma/EK/2016_las_files_DGRT_system/FW1/FW1mon_conductivity_down.las,FW1mon,470862,8268419,,81931,636188,AUS,WA,36.484,0.1,m,Australian Height Datum,known,top of casing protector,ground level,0.69,m,,digital elevation model,128.7291546,-15.6607923,81931,AMG Zone 52 (AGD 84),10,EPSG:20352,0.69,36.484,GDA94 / MGA zone 52,470973.3484,8268566.781
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_induction_down.las,KC13,636198,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC13/KC13_induction_down.las,0,0.635,31.985,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC13\KC13_induction_down.las,KC13,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC13/KC13_induction_down.las,80918510,495809.481,8277098.459,,82465,636198,AUS,WA,25.753,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.87,m,KC13,GPS differential observation,128.9619376,-15.5825289,82465,MGA94 Zone 52,5,EPSG:28352,0.87,25.753,GDA94 / MGA zone 52,495919.2957,8277241.697
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC14\KC14_induction_down.las,KC14,636201,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC14/KC14_induction_down.las,0,0.645,29.995,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC14\KC14_induction_down.las,KC14,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC14/KC14_induction_down.las,80918511,497960.303,8278737.019,,82465,636201,AUS,WA,24.845,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.68,m,KC14,GPS differential observation,128.9819928,-15.5676866,82465,MGA94 Zone 52,5,EPSG:28352,0.68,24.845,GDA94 / MGA zone 52,498069.2934,8278883.688
\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC3PB\KC3PB_induction_down.las,KC3PB,636204,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC3PB/KC3PB_induction_down.las,0,0.645,30.995,-99999,,,,,\\prod.lan\active\proj\futurex\East_Kimberley\Data\Original\Geophysics\Induction_gamma\2017_tfd_files_GA_ALT_system\KC3PB\KC3PB_induction_down.las,KC3PB,5,top of casing,/home/nsymington/Documents/GA/inductionGamma/EK/2017_tfd_files_GA_ALT_system/KC3PB/KC3PB_induction_down.las,80918513,498131.764,8284346.403,,82465,636204,AUS,WA,21.279,0.1,m,Australian Height Datum,assumed,top of casing,ground level,0.5,m,KC3PB,GPS differential observation,128.9836197,-15.516968,82465,MGA94 Zone 52,5,EPSG:28352,0.5,21.279,GDA94 / MGA zone 52,498243.2976,8284493.676
